Auburn | Grambling
California | Houston
New Orleans | Centenary
Yale | Colgate
West Virginia | Coppin St
Temple | Delaware St
TCU | Duquesne
George Mason | Loyola MD
Pepperdine | Hawaii
Marquette | S Dakota St
Massachusetts | Sacred Heart
Mississippi | Norfolk St
St Bonaventure | Niagara
North Alabama | Vanderbilt
Syracuse | North Dakota
Princeton | Rider
TN Martin | Samford
Virginia Tech | SC Upstate
Wake Forest | Towson
Utah Valley | UC Santa Barbara
Utah St | Washington St
Old Dominion | Campbell
Coastal Car | W Carolina
CS Fullerton | Seattle
LSU | Sam Houston St
Santa Clara | Sonoma St
Gardner Webb | Florida
Hofstra | Iona
Montana St | Carroll MT
Chattanooga | Lee TN
CS Bakersfield | Wright St
East Carolina | MD E Shore
Wofford | Ga Southern
UMBC | Gettysburg
Rutgers | St Francis PA
Lane | Alcorn St
Baylor | Nicholls St
UNC Wilmington | Belmont Abbey
UT San Antonio | Concordia TX
IUPUI | Purdue Northwest
Loy Marymount | UCLA
Florida St | Troy
Southern Miss | Wm Carey
Binghamton | Charleston WV
South Florida | Ohio St
New Mexico St | Permian Basin
Allen Co | Labette CC
Angelina | LSU-Eunice
Chattahoochee Val | S Union St
Cisco JC | Howard Col
Clarendon | Lamar CC
Pensacola St | Coastal AL-Mon
NE OK A&M | Coffeyville CC
Tallahassee CC | Col Cent Florida
Collin Co | Murray St CC
Daytona St | Indian River
E Florida St | Florida St-Jax
Eastern Wyoming | Northwest KS Tech
John Logan | Jefferson Col
Lake Michigan | Kennedy-King
Southwestern CC | Marshalltown CC
N OK-Enid | Neosho Co
Wallace St | NE MS CC
Lake Co | Olive-Harvey
Morton | Black Hawk-M
Montgomery Co CC | Bucks Co CC
Carl Sandburg | Danville CC IL
Harcum Col | CCBC Catonsville
N Central MO | Ellsworth CC
Finger Lakes CC | Erie CC
Illinois Val | Milwaukee Tech
Johnson Co | Southeast CC
Wake Tech | Johnston CC
Rock Valley | Kishwaukee CC
Lakeland CC | Mercyhurst NE
Little Priest | MN West C&T
S Suburban | Wilbur Wright
Triton Col | Waubonsee CC
Union Co | Hostos CC
Massasoit CC | Bristol CC
Monroe-Bronx | Bronx CC
Passaic Co | Camden Co
UConn-AP | Gateway CC
Tompkins Cortland | Schenectady Co
Cape Fear CC | USC Salkehatchie
Aquinas | Bethel IN
Evangel | Stephens
Xavier LA | Loyola NO
OK City | Paul Quinn
PFW | IU Kokomo
S Francisco St | San Jose St
Gavilan | Ohlone
LA Harbor | Oxnard
Reedley | Modesto JC
Palomar Col | Santa Ana Col
Freed-Hardeman | Bethel TN
Philander Smith | Crowleys Ridge
Dillard | Mobile
Huntington | Holy Cross IN
Indiana NW | IN S Bend
Pikeville | Kentucky Chr
Salt Lake CC | Eastern Arizona
Bor Manhattan | Kingsborough
Philadelphia CC | Middlesex Co
Elgin CC | Harper
Oakton CC | Truman Col
Rockland CC | Dutchess CC
Savannah St | Wesleyan GA
F Dickinson | Rutgers-Newark
Jacksonville St | Florida A&M
Lincoln PA | Morgan St
St Francis NY | Mercy
Southern Univ | Millsaps
Asbury | Welch
Baker KS | Friends
Lourdes | Wright St-Lake
The Masters | MT Tech
Stillman | Oakwood
Mt Mercy | Waldorf
Concordia NE | Midland NE
John Wood CC | Moberly Area
SAU Tech | NW Mississippi
Nassau CC | Queensborough
Louisiana Tech | LSU-Alexandria
Oral Roberts | Harris-Stowe
TAM C. Christi | St Thomas TX
Cent Arkansas | Central Bap
Judson IL | Lincoln Col
Northwestern OH | Wilberforce
SW Tennessee | Ark Baptist
Providence GF | Yellowstone Chr
J&W FL | Florida National
Talladega | Cumberlands KY
Weatherford | Paris JC
Bunker Hill CC | Roxbury CC
State Fair CC | MCC Maple Woods
George Brown | Georgian
St Clair | Fanshawe
Durham | Loyalist
C Maine Tech | ME Augusta
Andrews | Glen Oaks CC
PSU-Hazleton | Luzerne Co CC
Southern-Shreve | SW Chr TX
Cleveland St | Salem WV
Snead St | Cleveland St CC
Vanguard | Westcliff
Alabama | SE Louisiana
Illinois | Alabama A&M
Kentucky | Alabama St
N Kentucky | Ald-Broaddus
Bellevue | Peru St
NC State | Belmont
Bluefield VA | Columbia SC
