PSU-Scranton | Albany Pharmacy
ME Machias | Hampshire
Davis | Paul Smiths
Vermont Tech | ME Augusta
Andrews | IN S Bend
Talladega | Selma AL
So Crescent Tech | Georgia NW Tech
C Maine Tech | N Essex CC
Cuesta | West Hills
Brewton-Parker | Regent
C Chr Bible | Calvary Bib
Johnson TN | Bob Jones
Lincoln Chr | Nebraska Chr
Northwest WA | Thompson Riv
Algonquin | St Lawrence ON
Great Lakes Chr | Welch
Wilberforce | Clark St
Wm Carey | Carver Bib
Grace Chr | Boyce
Hope Intl | St Katherine
Vancouver Island | Okanagan Col
Calgary | Alberta
Univ Lethbridge | Grant MacEwan
Manitoba | Mt Royal
Regina | Trinity Western
Saskatchewan | Fraser Val
St Fran Xavier | New Brunswick
St Marys NS | Acadia
Brit Columbia | Victoria
UBC-Okanagan | Brandon
Winnipeg | Northern BC
Southern MD | Bry & Strat-VB
Gadsden St CC | Wallace CC-Selma
Moberly Area | SW Tennessee
Potomac St-WVU | Hocking
Azusa Pacific | Drury
W Texas A&M | Concordia CA
MO Western | Fairmont St
NW Missouri | Ferris St
Northern St SD | Queens NC
Tarleton St | Wm Jewell
Lindenwood | Embry-Riddle FL
Dakota Wesleyan | Presentation
Odessa | Angelina
ASA | Cecil Col
Trinity Valley CC | SW MO St-WP
South Plains | Panola
Pitt CC | Southern MD
Erie CC | Mercer Co
Garrett | Hocking
Genesee CC | Broome CC
Corning CC | Jamestown CC
Niagara Co | Northampton CC
Potomac St-WVU | Patrick Henry CC
Bunker Hill CC | Nassau CC
Cayuga CC | Adirondack CC
Herkimer Co | Clinton CC (NY)
Queensborough | Jefferson CC
Grayson Co JC | Jacksonville Col
Cabrillo | Col of the Redwoods
Col of the Sequoias | Cuesta
Mt San Jacinto | West Hills
San Joaquin Delta | Shasta Col
Mt Marty | Dakota St
Howard Col | Lee TX
Sullivan Co | Raritan Val
Bor Manhattan | Burlington Co
Pikeville | OH Chillicothe
Clarendon | Lamar St
Williston St | ND St Science
Lake Region | Bismarck St
United Tribes | Dawson CC
Dakota-Bottineau | Miles CC
Yuba | Alameda
Feather River | West Valley Col
Santa Rosa JC | Fresno City Col
Mt San Antonio | Napa Valley CC
Sierra Col | Solano CC
Dalhousie | Cape Breton
UPEI | Memorial
UT-Mississauga | Sault
MS Vincent NS | Crandall
Holland | NB-St John
Mt Allison | St Thomas NB
Stratford | Kent-Tusc
SUNY-ESF | Paul Smiths
Unity | Hampshire
St Joseph VT | ME Machias
Vermont Tech | C Maine Tech
Georgetown KY | Wright St-Lake
Outaouais | Ed Montpetit
Culinary Inst | Webb Inst
Bry & Strat-Buffalo | ME Ft Kent
Carlow | Bry & Strat-Greece
CCBC-Dundalk | Bry & Strat-VB
Baltimore City CC | Chesapeake
Bossier Parish | Baton Rouge CC
MS Gulf Coast | Bishop St
Copiah-Lincoln | MS Delta
Hinds CC | Delgado CC
E Mississippi CC | Meridian CC
Marion Mil | Enterprise St
Shelton St | Itawamba CC
Lawson St | Wallace CC-Selma
Mott CC | Owens CC
Xavier LA | Wm Carey
Park | Benedictine KS
Cumberland TN | Philander Smith
Hastings | Sterling
Southern N.O. | Our Lady Lake
Cumberlands KY | Lindenwood-Belle
